house_id,building,meter,appliance,appliance_category,n_readings,n_ok,n_gap,pct_missing,appliance_power_mean_w,appliance_power_max_w,appliance_power_sum_w,mains_power_mean_w,period_start,period_end,pct_time_active,appliance_energy_kwh,pct_of_house_appliance_energy
UKDALE_house_1,1,43,data_logger_pc,electronics,952444,950983,1461,0.15,13.255011558532715,28.375,12605291.0,649.1762084960938,2013-03-14 20:20:00+00:00,2015-01-05 06:23:00+00:00,99.84,210.0882,4.28
UKDALE_house_1,1,7,tv,entertainment,1132319,1072658,59661,5.27,11.139375686645508,301.20001220703125,11948740.0,649.1762084960938,2012-11-09 22:28:00+00:00,2015-01-05 06:26:00+00:00,9.33,199.1457,4.06
UKDALE_house_1,1,3,solar_thermal_pump,water_heating,1132313,1074155,58158,5.14,9.1660795211792,227.55555725097656,9845790.0,649.1762084960938,2012-11-09 22:28:00+00:00,2015-01-05 06:20:00+00:00,18.41,164.0965,3.34
UKDALE_house_1,1,11,toaster,cooking,1081916,1042167,39749,3.67,9.340868949890137,2065.375,9734745.0,649.1762084960938,2012-12-14 22:21:00+00:00,2015-01-05 06:16:00+00:00,0.75,162.2457,3.3
UKDALE_house_1,1,13,microwave,cooking,1081917,1046913,35004,3.24,8.887085914611816,1857.5555419921875,9304006.0,649.1762084960938,2012-12-14 22:21:00+00:00,2015-01-05 06:17:00+00:00,0.91,155.0668,3.16
UKDALE_house_5,5,23,microwave,cooking,197373,190100,7273,3.68,45.29593276977539,1526.111083984375,8610757.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:55:00+00:00,86.3,143.5126,11.52
UKDALE_house_2,2,14,fridge,refrigeration,204948,172772,32176,15.7,45.83735656738281,276.6666564941406,7919412.0,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,84.3,131.9902,16.4
UKDALE_house_5,5,24,washer_dryer,laundry,197375,190102,7273,3.68,41.4482421875,2266.666748046875,7879394.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:57:00+00:00,82.6,131.3232,10.55
UKDALE_house_4,4,5,freezer,refrigeration,296076,224043,72033,24.33,35.13100051879883,402.1000061035156,7870855.0,426.858154296875,2013-03-09 14:40:00+00:00,2013-10-01 06:15:00+01:00,29.83,131.1809,29.81
UKDALE_house_5,5,19,fridge_freezer,refrigeration,197376,190101,7275,3.69,39.06862258911133,292.5714416503906,7426984.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:58:00+00:00,35.75,123.7831,9.94
UKDALE_house_2,2,13,dish_washer,dishwashing,204948,172775,32173,15.7,42.09054946899414,2194.60009765625,7272194.5,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,2.88,121.2032,15.06
UKDALE_house_4,4,4,gas_boiler,water_heating,296076,224362,71714,24.22,31.317867279052734,121.44444274902344,7026539.5,426.858154296875,2013-03-09 14:40:00+00:00,2013-10-01 06:15:00+01:00,75.78,117.109,26.61
UKDALE_house_2,2,3,monitor,electronics,337777,287612,50165,14.85,22.788782119750977,130.0,6554327.0,529.1991577148438,2013-02-17 15:39:00+00:00,2013-10-10 06:15:00+01:00,32.36,109.2388,13.57
UKDALE_house_2,2,8,kettle,cooking,337756,214577,123179,36.47,29.539037704467773,3180.300048828125,6338398.0,529.1991577148438,2013-02-17 16:00:00+00:00,2013-10-10 06:15:00+01:00,0.83,105.64,13.12
UKDALE_house_1,1,18,adsl_router,electronics,1081918,1046205,35713,3.3,5.960719585418701,18.799999237060547,6236134.5,649.1762084960938,2012-12-14 22:21:00+00:00,2015-01-05 06:18:00+00:00,96.69,103.9356,2.12
UKDALE_house_5,5,20,oven,cooking,197366,190091,7275,3.69,29.586503982543945,2982.5,5624128.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:48:00+00:00,25.34,93.7355,7.53
UKDALE_house_1,1,14,lcd_office,electronics,1065515,232907,832608,78.14,22.122325897216797,278.70001220703125,5152444.5,649.1762084960938,2012-12-14 22:21:00+00:00,2014-12-24 20:55:00+00:00,9.7,85.8741,1.75
UKDALE_house_2,2,5,server,electronics,337777,287612,50165,14.85,17.717954635620117,387.79998779296875,5095896.5,529.1991577148438,2013-02-17 15:39:00+00:00,2013-10-10 06:15:00+01:00,85.14,84.9316,10.55
UKDALE_house_1,1,22,hoover,other,974791,8666,966125,99.11,522.8114013671875,2217.199951171875,4530683.5,649.1762084960938,2013-02-14 20:57:00+00:00,2014-12-23 19:27:00+00:00,0.32,75.5114,1.54
UKDALE_house_1,1,31,kitchen_lamp2,lighting,953842,908252,45590,4.78,4.799655437469482,537.1428833007812,4359296.5,649.1762084960938,2013-03-13 20:59:00+00:00,2015-01-05 06:20:00+00:00,24.85,72.6549,1.48
UKDALE_house_1,1,4,laptop,electronics,1106488,277022,829466,74.96,14.895685195922852,329.1111145019531,4126432.5,649.1762084960938,2012-11-16 11:29:00+00:00,2014-12-24 20:56:00+00:00,17.51,68.7739,1.4
UKDALE_house_4,4,2,tv_dvd_digibox_lamp,entertainment,296076,222904,73172,24.71,18.304479598999023,2076.0,4080141.75,426.858154296875,2013-03-09 14:40:00+00:00,2013-10-01 06:15:00+01:00,75.28,68.0024,15.45
UKDALE_house_4,4,6,washing_machine_microwave_breadmaker,cooking,296076,223636,72440,24.47,16.76535987854004,3243.333251953125,3749338.0,426.858154296875,2013-03-09 14:40:00+00:00,2013-10-01 06:15:00+01:00,2.6,62.489,14.2
UKDALE_house_4,4,3,kettle_radio,cooking,293459,221738,71721,24.44,16.580684661865234,3248.0,3676567.75,426.858154296875,2013-03-09 14:40:00+00:00,2013-09-29 10:38:00+01:00,0.84,61.2761,13.92
UKDALE_house_1,1,42,gas_oven,cooking,952443,934993,17450,1.83,3.7526395320892334,515.0,3508691.75,649.1762084960938,2013-03-14 20:20:00+00:00,2015-01-05 06:22:00+00:00,2.2,58.4782,1.19
UKDALE_house_1,1,17,amp_livingroom,entertainment,1081917,1047082,34835,3.22,3.1658012866973877,215.0,3314853.5,649.1762084960938,2012-12-14 22:21:00+00:00,2015-01-05 06:17:00+00:00,13.29,55.2476,1.12
UKDALE_house_5,5,22,dishwasher,dishwashing,197378,190105,7273,3.68,17.067228317260742,1691.5,3244565.5,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 18:00:00+00:00,2.34,54.0761,4.34
UKDALE_house_3,3,3,electric_heater,heating,56681,52778,3903,6.89,59.471561431884766,2273.89990234375,3138790.0,510.43731689453125,2013-02-27 20:35:00+00:00,2013-04-08 06:15:00+01:00,3.79,52.3132,57.19
UKDALE_house_2,2,6,router,electronics,337739,287477,50262,14.88,9.963465690612793,162.39999389648438,2864267.25,529.1991577148438,2013-02-17 16:17:00+00:00,2013-10-10 06:15:00+01:00,85.11,47.7378,5.93
UKDALE_house_5,5,16,home_theatre_amp,entertainment,100660,100632,28,0.03,27.904672622680664,77.69999694824219,2808103.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:02:00+01:00,97.49,46.8017,3.76
UKDALE_house_2,2,2,laptop,electronics,337777,287606,50171,14.85,9.577221870422363,210.0,2754466.5,529.1991577148438,2013-02-17 15:39:00+00:00,2013-10-10 06:15:00+01:00,35.77,45.9078,5.7
UKDALE_house_1,1,32,kitchen_phone&stereo,other,953842,952031,1811,0.19,2.7804312705993652,1970.4444580078125,2647056.75,649.1762084960938,2013-03-13 20:59:00+00:00,2015-01-05 06:20:00+00:00,6.66,44.1176,0.9
UKDALE_house_1,1,28,subwoofer_livingroom,other,955827,954267,1560,0.16,2.6736955642700195,432.75,2551419.5,649.1762084960938,2013-03-12 11:53:00+00:00,2015-01-05 06:19:00+00:00,14.35,42.5237,0.87
UKDALE_house_5,5,14,atom_pc,electronics,100675,100659,16,0.02,23.998374938964844,30.55555534362793,2415652.5,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:17:00+01:00,99.98,40.2609,3.23
UKDALE_house_1,1,19,livingroom_s_lamp,lighting,995880,978390,17490,1.76,2.042245388031006,410.6000061035156,1998112.375,649.1762084960938,2013-02-12 16:19:00+00:00,2015-01-05 06:18:00+00:00,11.92,33.3019,0.68
UKDALE_house_2,2,12,washing_machine,laundry,204948,172752,32196,15.71,11.426344871520996,2279.89990234375,1973924.0,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,1.22,32.8987,4.09
UKDALE_house_1,1,51,office_pc,electronics,895788,156464,739324,82.53,12.344414710998535,251.0,1931456.5,649.1762084960938,2013-04-11 20:08:00+01:00,2014-12-24 20:55:00+00:00,1.05,32.1909,0.66
UKDALE_house_5,5,8,network_attached_storage,electronics,100659,100642,17,0.02,18.375211715698242,24.100000381469727,1849318.125,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:01:00+01:00,99.98,30.822,2.47
UKDALE_house_5,5,21,electric_hob,other,197368,190093,7275,3.69,9.59328842163086,3557.25,1823617.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:50:00+00:00,1.23,30.3936,2.44
UKDALE_house_2,2,4,speakers,entertainment,337777,287410,50367,14.91,5.924307346343994,419.0,1702705.125,529.1991577148438,2013-02-17 15:39:00+00:00,2013-10-10 06:15:00+01:00,33.25,28.3784,3.53
UKDALE_house_2,2,18,modem,electronics,204948,172605,32343,15.78,8.988005638122559,137.0,1551374.75,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,84.21,25.8562,3.21
UKDALE_house_5,5,17,sky_hd_box,entertainment,100661,100447,214,0.21,15.27449893951416,120.4000015258789,1534277.625,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:03:00+01:00,99.79,25.5713,2.05
UKDALE_house_1,1,21,gigE_&_USBhub,other,979477,179890,799587,81.63,7.735506534576416,137.0,1391540.25,649.1762084960938,2013-02-12 16:19:00+00:00,2014-12-24 20:55:00+00:00,15.94,23.1923,0.47
UKDALE_house_5,5,18,kettle,cooking,100660,100644,16,0.02,12.529841423034668,3107.5556640625,1261053.375,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:02:00+01:00,0.53,21.0176,1.69
UKDALE_house_2,2,15,microwave,cooking,204948,172768,32180,15.7,6.5870747566223145,1418.699951171875,1138035.75,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,1.31,18.9673,2.36
UKDALE_house_1,1,23,kitchen_dt_lamp,lighting,995881,988940,6941,0.7,1.145896077156067,276.875,1133222.5,649.1762084960938,2013-02-12 16:19:00+00:00,2015-01-05 06:19:00+00:00,3.43,18.887,0.38
UKDALE_house_5,5,5,primary_tv,entertainment,197374,189113,8261,4.19,5.943090915679932,166.5,1123915.75,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:56:00+00:00,8.24,18.7319,1.5
UKDALE_house_1,1,39,hair_dryer,personal_care,934791,5073,929718,99.46,220.6328125,2000.199951171875,1119270.25,649.1762084960938,2013-03-15 08:40:00+00:00,2014-12-24 12:30:00+00:00,0.17,18.6545,0.38
UKDALE_house_1,1,16,breadmaker,cooking,1081917,1046163,35754,3.3,1.0164905786514282,637.625,1063414.875,649.1762084960938,2012-12-14 22:21:00+00:00,2015-01-05 06:17:00+00:00,0.49,17.7236,0.36
UKDALE_house_1,1,29,livingroom_lamp_tv,lighting,955828,954251,1577,0.16,1.1136136054992676,16.14285659790039,1062666.875,649.1762084960938,2013-03-12 11:53:00+00:00,2015-01-05 06:20:00+00:00,8.64,17.7111,0.36
UKDALE_house_3,3,4,laptop,electronics,56681,52798,3883,6.85,20.027456283569336,2250.5,1057409.625,510.43731689453125,2013-02-27 20:35:00+00:00,2013-04-08 06:15:00+01:00,18.58,17.6235,19.27
UKDALE_house_1,1,37,kitchen_radio,other,953844,952022,1822,0.19,0.9920186996459961,167.625,944423.625,649.1762084960938,2013-03-13 20:59:00+00:00,2015-01-05 06:22:00+00:00,0.0,15.7404,0.32
UKDALE_house_1,1,15,hifi_office,other,1065515,234703,830812,77.97,3.8756492137908936,292.6000061035156,909626.5,649.1762084960938,2012-12-14 22:21:00+00:00,2014-12-24 20:55:00+00:00,9.24,15.1604,0.31
UKDALE_house_3,3,5,projector,entertainment,56681,52841,3840,6.77,17.170642852783203,304.5,907313.9375,510.43731689453125,2013-02-27 20:35:00+00:00,2013-04-08 06:15:00+01:00,7.46,15.1219,16.53
UKDALE_house_5,5,10,24_inch_lcd,electronics,100658,100641,17,0.02,8.385247230529785,122.4000015258789,843899.6875,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:00:00+01:00,31.91,14.065,1.13
UKDALE_house_2,2,11,laptop2,electronics,253918,192519,61399,24.18,4.127888202667236,262.1000061035156,794696.875,529.1991577148438,2013-04-16 22:18:00+01:00,2013-10-10 06:15:00+01:00,12.76,13.2449,1.65
UKDALE_house_2,2,10,running_machine,other,253918,214465,39453,15.54,3.399949312210083,748.5555419921875,729170.125,529.1991577148438,2013-04-16 22:18:00+01:00,2013-10-10 06:15:00+01:00,9.11,12.1528,1.51
UKDALE_house_2,2,9,rice_cooker,cooking,253918,214178,39740,15.65,3.2955000400543213,829.7000122070312,705823.625,529.1991577148438,2013-04-16 22:18:00+01:00,2013-10-10 06:15:00+01:00,0.75,11.7637,1.46
UKDALE_house_1,1,49,office_lamp2,lighting,912198,858205,53993,5.92,0.7777529954910278,512.0,667471.5,649.1762084960938,2013-04-11 20:08:00+01:00,2015-01-05 06:25:00+00:00,6.26,11.1245,0.23
UKDALE_house_5,5,6,24_inch_lcd_bedroom,electronics,197371,190091,7280,3.69,3.3601417541503906,109.9000015258789,638732.6875,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:53:00+00:00,3.68,10.6455,0.85
UKDALE_house_1,1,38,bedroom_chargers,electronics,953844,951376,2468,0.26,0.6353577375411987,482.625,604464.125,649.1762084960938,2013-03-13 20:59:00+00:00,2015-01-05 06:22:00+00:00,2.1,10.0744,0.21
UKDALE_house_2,2,7,server_hdd,other,253918,214575,39343,15.49,2.77044939994812,192.5,594469.1875,529.1991577148438,2013-04-16 22:18:00+01:00,2013-10-10 06:15:00+01:00,17.49,9.9078,1.23
UKDALE_house_1,1,36,coffee_machine,other,1000676,955033,45643,4.56,0.6121556162834167,1278.25,584628.8125,649.1762084960938,2013-02-09 08:27:00+00:00,2015-01-05 06:22:00+00:00,0.13,9.7438,0.2
UKDALE_house_5,5,7,treadmill,other,197377,189927,7450,3.77,3.0119428634643555,923.6666870117188,572049.25,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:59:00+00:00,1.45,9.5342,0.77
UKDALE_house_5,5,4,hairdryer,personal_care,197372,189669,7703,3.9,2.5767264366149902,1163.699951171875,488725.125,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:54:00+00:00,0.26,8.1454,0.65
UKDALE_house_1,1,26,livingroom_s_lamp2,lighting,955827,954275,1552,0.16,0.502066433429718,11.428571701049805,479109.4375,649.1762084960938,2013-03-12 11:53:00+00:00,2015-01-05 06:19:00+00:00,6.13,7.9852,0.16
UKDALE_house_1,1,48,office_lamp1,lighting,912197,910941,1256,0.14,0.43254947662353516,292.5714416503906,394027.0625,649.1762084960938,2013-04-11 20:08:00+01:00,2015-01-05 06:24:00+00:00,3.12,6.5671,0.13
UKDALE_house_1,1,50,office_lamp3,lighting,895788,153481,742307,82.87,2.5133981704711914,386.0,385758.875,649.1762084960938,2013-04-11 20:08:00+01:00,2014-12-24 20:55:00+00:00,6.2,6.4293,0.13
UKDALE_house_3,3,2,kettle,cooking,56681,52617,4064,7.17,7.319677352905273,3061.10009765625,385139.46875,510.43731689453125,2013-02-27 20:35:00+00:00,2013-04-08 06:15:00+01:00,0.35,6.419,7.02
UKDALE_house_1,1,35,bedroom_d_lamp,lighting,955829,915547,40282,4.21,0.4102453887462616,525.5714111328125,375598.9375,649.1762084960938,2013-03-12 11:53:00+00:00,2015-01-05 06:21:00+00:00,1.11,6.26,0.13
UKDALE_house_1,1,52,office_fan,other,662124,245797,416327,62.88,1.3669779300689697,178.25,335999.0625,649.1762084960938,2013-06-19 15:26:00+01:00,2014-09-22 10:49:00+01:00,1.7,5.6,0.11
UKDALE_house_1,1,40,straighteners,other,936178,4105,932073,99.56,70.64007568359375,384.0,289977.5,649.1762084960938,2013-03-15 08:40:00+00:00,2014-12-25 11:37:00+00:00,0.26,4.833,0.1
UKDALE_house_1,1,53,LED_printer,electronics,616697,112035,504662,81.83,1.8933813571929932,723.5,212124.984375,649.1762084960938,2013-10-22 15:40:00+01:00,2014-12-24 20:56:00+00:00,0.15,3.5354,0.07
UKDALE_house_1,1,47,battery_charger,other,912197,909618,2579,0.28,0.22498880326747894,2048.0,204653.859375,649.1762084960938,2013-04-11 20:08:00+01:00,2015-01-05 06:24:00+00:00,0.86,3.4109,0.07
UKDALE_house_1,1,27,iPad_charger,electronics,955827,709540,246287,25.77,0.28198230266571045,389.3333435058594,200077.71875,649.1762084960938,2013-03-12 11:53:00+00:00,2015-01-05 06:19:00+00:00,0.19,3.3346,0.07
UKDALE_house_5,5,13,nespresso_pixie,other,100660,100642,18,0.02,1.8887566328048706,1130.25,190088.25,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:02:00+01:00,0.49,3.1681,0.25
UKDALE_house_1,1,34,samsung_charger,other,955829,867966,87863,9.19,0.18863576650619507,259.6666564941406,163729.4375,649.1762084960938,2013-03-12 11:53:00+00:00,2015-01-05 06:21:00+00:00,0.0,2.7288,0.06
UKDALE_house_2,2,17,playstation,entertainment,204948,172773,32175,15.7,0.9456747174263,109.4000015258789,163387.0625,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,0.07,2.7231,0.34
UKDALE_house_1,1,24,bedroom_ds_lamp,lighting,995881,750095,245786,24.68,0.18867599964141846,143.39999389648438,141524.921875,649.1762084960938,2013-02-12 16:19:00+00:00,2015-01-05 06:19:00+00:00,0.59,2.3587,0.05
UKDALE_house_1,1,41,iron,other,708793,346,708447,99.95,369.634765625,1803.0,127893.625,649.1762084960938,2013-04-25 06:54:00+01:00,2014-08-30 12:06:00+01:00,0.03,2.1316,0.04
UKDALE_house_1,1,45,childs_ds_lamp,lighting,951729,890123,61606,6.47,0.11734404414892197,360.0,104450.6328125,649.1762084960938,2013-03-15 08:15:00+00:00,2015-01-05 06:23:00+00:00,1.08,1.7408,0.04
UKDALE_house_2,2,16,toaster,cooking,204948,172658,32290,15.76,0.6038032174110413,997.0,104251.4609375,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,0.06,1.7375,0.22
UKDALE_house_5,5,2,stereo_speakers_bedroom,entertainment,100675,100646,29,0.03,1.005087971687317,102.75,101158.078125,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:17:00+01:00,0.01,1.686,0.14
UKDALE_house_5,5,12,steam_iron,other,100659,100643,16,0.02,0.8572157621383667,2315.39990234375,86272.765625,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:01:00+01:00,0.07,1.4379,0.12
UKDALE_house_5,5,15,toaster,cooking,100660,100644,16,0.02,0.7703048586845398,1144.4444580078125,77526.5625,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-09-07 15:02:00+01:00,0.09,1.2921,0.1
UKDALE_house_1,1,20,soldering_iron,other,362781,67550,295231,81.38,1.1061334609985352,129.0,74719.3125,649.1762084960938,2013-02-12 16:19:00+00:00,2013-10-22 15:39:00+01:00,0.08,1.2453,0.03
UKDALE_house_5,5,25,vacuum_cleaner,other,81124,8180,72944,89.92,8.609813690185547,1953.5999755859375,70428.2734375,1260.0394287109375,2014-06-30 11:09:00+01:00,2014-08-25 19:12:00+01:00,0.07,1.1738,0.09
UKDALE_house_1,1,33,utilityrm_lamp,lighting,955349,847447,107902,11.29,0.06497766077518463,50.375,55065.125,649.1762084960938,2013-03-12 19:53:00+00:00,2015-01-05 06:21:00+00:00,0.14,0.9178,0.02
UKDALE_house_2,2,19,cooker,cooking,204948,172600,32348,15.78,0.2081131935119629,353.20001220703125,35920.3359375,529.1991577148438,2013-05-20 22:28:00+01:00,2013-10-10 06:15:00+01:00,1.64,0.5987,0.07
UKDALE_house_1,1,44,childs_table_lamp,lighting,951725,950245,1480,0.16,0.03492618352174759,417.5,33188.4296875,649.1762084960938,2013-03-15 08:19:00+00:00,2015-01-05 06:23:00+00:00,0.18,0.5531,0.01
UKDALE_house_1,1,46,baby_monitor_tx,electronics,951729,859852,91877,9.65,0.0068204523995518684,196.875,5864.57958984375,649.1762084960938,2013-03-15 08:16:00+00:00,2015-01-05 06:24:00+00:00,0.0,0.0977,0.0
UKDALE_house_1,1,30,DAB_radio_livingroom,other,78265,77657,608,0.78,0.007428944576531649,214.39999389648438,576.9095458984375,649.1762084960938,2013-03-12 11:53:00+00:00,2013-05-05 21:17:00+01:00,0.01,0.0096,0.0
UKDALE_house_5,5,11,PS4,entertainment,1050,1050,0,0.0,0.00021164021745789796,0.2222222238779068,0.2222222238779068,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-06-30 10:52:00+01:00,0.0,0.0,0.0
